Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Human	hsa_circSRRM1_001	hg38	chr1:24666814-24670315	+	772	NM_001366598	SRRM1	ENSG00000133226	1	3: RPF,cORF,m6A	circAtlas:hsa-SRRM1_0007,CIRCpedia:HSA_CIRCpedia_31064,CSCD:chr1:24666814-24670315
Condition-independent	Human	hsa_circTMEM50A_001	hg38	chr1:25340473-25343073	+	219	NM_014313	TMEM50A	ENSG00000183726	1	2: RPF,cORF	circAtlas:hsa-TMEM50A_0003,circBank:hsa_circTMEM50A_001,circBase:hsa_circ_0000032,CIRCpedia:HSA_CIRCpedia_31071,circRNADb:hsa_circ_16811,CSCD:chr1:25340473-25343073,exoRBase:exo_circ_001286
Condition-independent	Human	hsa_circTMEM50A_002	hg38	chr1:25340473-25351693	+	287	NM_014313	TMEM50A	ENSG00000183726	1	2: RPF,cORF	circAtlas:hsa-TMEM50A_0007,circBank:hsa_circTMEM50A_002,circBase:hsa_circ_0007054,CIRCpedia:HSA_CIRCpedia_31072,circRNADb:hsa_circ_07036,CSCD:chr1:25340473-25351693,exoRBase:exo_circ_024392
Condition-independent	Human	hsa_circDHDDS_001	hg38	chr1:26446315-26447660	+	219	NM_001319959	DHDDS	ENSG00000117682	1	3: RPF,cORF,MS	circAtlas:hsa-DHDDS_0004,circBank:hsa_circDHDDS_006,circBase:hsa_circ_0000034,CIRCpedia:HSA_CIRCpedia_31125,circRNADb:hsa_circ_19894,CSCD:chr1:26446315-26447660,exoRBase:exo_circ_017987
Condition-independent	Human	hsa_circARID1A_001	hg38	chr1:26729650-26732792	+	783	NM_139135	ARID1A	ENSG00000117713	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ARID1A_0001,circBank:hsa_circARID1A_002,circBase:hsa_circ_0008494,CIRCpedia:HSA_CIRCpedia_31136,circRNADb:hsa_circ_17116,CSCD:chr1:26729650-26732792,exoRBase:exo_circ_000039
Condition-independent	Human	hsa_circNUDC_001	hg38	chr1:26942659-26943065	+	406	NM_006600	NUDC	ENSG00000090273	4	2: RPF,cORF	circAtlas:hsa-NUDC_0004,circBank:hsa_circNUDC_008,circBase:hsa_circ_0005087,CIRCpedia:HSA_CIRCpedia_31146,circRNADb:hsa_circ_10313,CSCD:chr1:26942659-26943065,exoRBase:exo_circ_002127
Condition-independent	Human	hsa_circIFI6_001	hg38	chr1:27668225-27669346	-	330	NM_002038	IFI6	ENSG00000126709	1	3: RPF,cORF,m6A	circAtlas:hsa-IFI6_0001,circBank:hsa_circIFI6_002,circBase:hsa_circ_0002470,CIRCpedia:HSA_CIRCpedia_69009,circRNADb:hsa_circ_14757,CSCD:chr1:27668225-27669346,exoRBase:exo_circ_020609
Condition-independent	Human	hsa_circSTX12_001	hg38	chr1:27789561-27793632	+	170	NM_177424	STX12	ENSG00000117758	1	3: RPF,cORF,MS	circAtlas:hsa-STX12_0001,circBank:hsa_circSTX12_002,circBase:hsa_circ_0008126,CIRCpedia:HSA_CIRCpedia_31166,circRNADb:hsa_circ_23313,CSCD:chr1:27789561-27793632,exoRBase:exo_circ_017669
Condition-independent	Human	hsa_circPUM1_001	hg38	chr1:30941150-30967310	-	530	NM_014676	PUM1	ENSG00000134644	1	2: RPF,cORF	circAtlas:hsa-PUM1_0075,circBank:hsa_circPUM1_045,circBase:hsa_circ_0113023,CIRCpedia:HSA_CIRCpedia_31306,CSCD:chr1:30941150-30967310
Condition-independent	Human	hsa_circPUM1_002	hg38	chr1:30992389-30995220	-	438	NM_014676	PUM1	ENSG00000134644	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-PUM1_0014,circBank:hsa_circPUM1_021,circBase:hsa_circ_0000043,CIRCpedia:HSA_CIRCpedia_31329,circRNADb:hsa_circ_05044,CSCD:chr1:30992389-30995220,exoRBase:exo_circ_000160
Condition-independent	Human	hsa_circPTP4A2_001	hg38	chr1:31915894-31919658	-	782	NM_080391	PTP4A2	ENSG00000184007	1	3: RPF,cORF,m6A	circAtlas:hsa-PTP4A2_0001,circBank:hsa_circPTP4A2_004,circBase:hsa_circ_0007364,CIRCpedia:HSA_CIRCpedia_31375,circRNADb:hsa_circ_22452,CSCD:chr1:31915894-31919658,exoRBase:exo_circ_003183
Condition-independent	Human	hsa_circZMYM6_001	hg38	chr1:34992233-34992387	-	154	NM_007167	ZMYM6	ENSG00000163867	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ZMYM6_0007,circBank:hsa_circZMYM6_008,circBase:hsa_circ_0011515,CIRCpedia:HSA_CIRCpedia_31503,CSCD:chr1:34992233-34992387,exoRBase:exo_circ_012643
Condition-independent	Human	hsa_circCLSPN_001	hg38	chr1:35747906-35748604	-	355	NM_022111	CLSPN	ENSG00000092853	1	3: RPF,cORF,MS	circAtlas:hsa-CLSPN_0004,circBank:hsa_circCLSPN_006,circBase:hsa_circ_0003352,CIRCpedia:HSA_CIRCpedia_31586,circRNADb:hsa_circ_14571,CSCD:chr1:35747906-35748604,exoRBase:exo_circ_030453,TSCD:chr1:35747906-35748604
Condition-independent	Human	hsa_circGNL2_001	hg38	chr1:37582222-37587495	-	525	NM_001323623	GNL2	ENSG00000134697	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-GNL2_0005,circBank:hsa_circGNL2_004,circBase:hsa_circ_0011705,CIRCpedia:HSA_CIRCpedia_31677,circRNADb:hsa_circ_07667,CSCD:chr1:37582222-37587495,exoRBase:exo_circ_035325
Condition-independent	Human	hsa_circGJA9-MYCBP_001	hg38	chr1:38866879-38867610	-	179	NR_037633	GJA9-MYCBP	NA	1	2: RPF,cORF	circAtlas:hsa-MYCBP_0002,CIRCpedia:HSA_CIRCpedia_31714
Condition-independent	Human	hsa_circZMPSTE24_001	hg38	chr1:40267785-40272035	+	499	NM_005857	ZMPSTE24	ENSG00000084073	1	3: RPF,cORF,m6A	circAtlas:hsa-ZMPSTE24_0001,circBank:hsa_circZMPSTE24_003,circBase:hsa_circ_0008985,CIRCpedia:HSA_CIRCpedia_31822,circRNADb:hsa_circ_06919,CSCD:chr1:40267785-40272035,exoRBase:exo_circ_023596
Condition-independent	Human	hsa_circHIVEP3_001	hg38	chr1:41575543-41585318	-	5728	NM_001127714	HIVEP3	ENSG00000127124	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-HIVEP3_0001,circBank:hsa_circHIVEP3_015,circBase:hsa_circ_0011950,CIRCpedia:HSA_CIRCpedia_107995,circRNADb:hsa_circ_01155,CSCD:chr1:41575543-41585318,exoRBase:exo_circ_014359
Condition-independent	Human	hsa_circERMAP_001	hg38	chr1:42835037-42838921	+	204	NM_018538	ERMAP	ENSG00000164010	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ERMAP_0001
Condition-independent	Human	hsa_circST3GAL3_001	hg38	chr1:43920403-43920928	+	294	NM_001350620	ST3GAL3	ENSG00000126091	2	3: RPF,cORF,MS	circAtlas:hsa-ST3GAL3_0004,circBank:hsa_circST3GAL3_014,circBase:hsa_circ_0006595,CIRCpedia:HSA_CIRCpedia_32001,circRNADb:hsa_circ_22986,CSCD:chr1:43920403-43920928,exoRBase:exo_circ_011866
Condition-independent	Human	hsa_circERI3_001	hg38	chr1:44284834-44339322	-	620	NM_001301699	ERI3	ENSG00000117419	2	2: RPF,cORF	circAtlas:hsa-ERI3_0013,circBank:hsa_circERI3_014,circBase:hsa_circ_0007437,CIRCpedia:HSA_CIRCpedia_32017,circRNADb:hsa_circ_03991,CSCD:chr1:44284834-44339322,exoRBase:exo_circ_038090
Condition-independent	Human	hsa_circMKNK1_001	hg38	chr1:46571416-46572167	-	228	NM_003684	MKNK1	ENSG00000079277	1	3: RPF,cORF,IRES	circAtlas:hsa-MKNK1_0006,CSCD:chr1:46571416-46572167
Condition-independent	Human	hsa_circFAF1_001	hg38	chr1:50655441-50744775	-	377	NM_007051	FAF1	ENSG00000185104	1	4: RPF,cORF,MS,m6A	Circ2Disease:hsa_circRNA_100219,circAtlas:hsa-FAF1_0003,circBank:hsa_circFAF1_018,circBase:hsa_circ_0004619,CIRCpedia:HSA_CIRCpedia_32234,circRNADb:hsa_circ_18082,CSCD:chr1:50655441-50744775,exoRBase:exo_circ_001481
Condition-independent	Human	hsa_circUSP1_001	hg38	chr1:62441487-62442299	+	226	NM_003368	USP1	ENSG00000162607	1	3: RPF,cORF,MS	circAtlas:hsa-USP1_0004,circBank:hsa_circUSP1_006,circBase:hsa_circ_0113805,CIRCpedia:HSA_CIRCpedia_32643,circRNADb:hsa_circ_29585,CSCD:chr1:62441487-62442299,exoRBase:exo_circ_012646
Condition-independent	Human	hsa_circDOCK7_001	hg38	chr1:62495580-62539892	-	1952	NM_001272000	DOCK7	ENSG00000116641	1	2: RPF,cORF	circAtlas:hsa-DOCK7_0223,CIRCpedia:HSA_CIRCpedia_139544,CSCD:chr1:62495580-62539892,exoRBase:exo_circ_043303,TSCD:chr1:62495580-62539892
Condition-independent	Human	hsa_circAK4_001	hg38	chr1:65190709-65190829	+	120	NM_001005353	AK4	ENSG00000162433	1	2: RPF,cORF	circBank:hsa_circAK4_003,circBase:hsa_circ_0012881,CIRCpedia:HSA_CIRCpedia_368237
Condition-independent	Human	hsa_circDNAJC6_001	hg38	chr1:65364634-65366196	+	350	NM_014787	DNAJC6	ENSG00000116675	1	3: RPF,cORF,MS	circAtlas:hsa-DNAJC6_0001,circBank:hsa_circDNAJC6_002,circBase:hsa_circ_0002454,CIRCpedia:HSA_CIRCpedia_32763,circRNADb:hsa_circ_19407,CSCD:chr1:65364634-65366196,exoRBase:exo_circ_000250
Condition-independent	Human	hsa_circANKRD13C_001	hg38	chr1:70292387-70300908	-	439	NM_030816	ANKRD13C	ENSG00000118454	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ANKRD13C_0020,circBank:hsa_circANKRD13C_023,circBase:hsa_circ_0114049,CIRCpedia:HSA_CIRCpedia_32865,CSCD:chr1:70292387-70300908,exoRBase:exo_circ_012292
Condition-independent	Human	hsa_circZZZ3_001	hg38	chr1:77581775-77584655	-	403	NM_001308237	ZZZ3	ENSG00000036549	1	3: RPF,cORF,MS	CSCD:chr1:77581775-77584655
Condition-independent	Human	hsa_circUSP33_001	hg38	chr1:77717866-77718641	-	227	NM_201626	USP33	ENSG00000077254	1	3: RPF,cORF,MS	circAtlas:hsa-USP33_0001,circBank:hsa_circUSP33_039,circBase:hsa_circ_0012992,CIRCpedia:HSA_CIRCpedia_32933,CSCD:chr1:77717866-77718641,exoRBase:exo_circ_041958
Condition-independent	Human	hsa_circUSP33_002	hg38	chr1:77721830-77745599	-	1863	NM_201626	USP33	ENSG00000077254	5	4: RPF,cORF,MS,m6A	circBank:hsa_circUSP33_003,circBase:hsa_circ_0012996
Condition-independent	Human	hsa_circADGRL2_001	hg38	chr1:81836884-81837057	+	173	NM_001330645	ADGRL2	ENSG00000117114	1	3: RPF,cORF,MS	circAtlas:hsa-ADGRL2_0006,circBank:hsa_circLPHN2_005,circBase:hsa_circ_0114237,CIRCpedia:HSA_CIRCpedia_32982,circRNADb:hsa_circ_01934,CSCD:chr1:81836884-81837057
Condition-independent	Human	hsa_circLPAR3_001	hg38	chr1:84865384-84866138	-	754	NM_012152	LPAR3	ENSG00000171517	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-LPAR3_0001,circBank:hsa_circLPAR3_003,circBase:hsa_circ_0004390,CIRCpedia:HSA_CIRCpedia_33016,circRNADb:hsa_circ_27240,CSCD:chr1:84865384-84866138,exoRBase:exo_circ_024851
Condition-independent	Human	hsa_circPKN2_001	hg38	chr1:88770351-88771879	+	481	NM_001320707	PKN2	ENSG00000065243	1	3: RPF,cORF,m6A	circAtlas:hsa-PKN2_0001,circBank:hsa_circPKN2_010,circBase:hsa_circ_0002008,CIRCpedia:HSA_CIRCpedia_33092,circRNADb:hsa_circ_21202,CSCD:chr1:88770351-88771879,exoRBase:exo_circ_005981
Condition-independent	Human	hsa_circTGFBR3_001	hg38	chr1:91719892-91801055	-	1449	NR_036634	TGFBR3	ENSG00000069702	2	4: RPF,cORF,m6A,IRES	circBank:hsa_circTGFBR3_006,circBase:hsa_circ_0013138
Condition-independent	Human	hsa_circGCLM_001	hg38	chr1:93894613-93897898	-	378	NM_001308253	GCLM	ENSG00000023909	1	2: RPF,cORF	circAtlas:hsa-GCLM_0004,circBank:hsa_circGCLM_004,circBase:hsa_circ_0013222,CIRCpedia:HSA_CIRCpedia_33238,circRNADb:hsa_circ_22741,CSCD:chr1:93894613-93897898,exoRBase:exo_circ_001315
Condition-independent	Human	hsa_circTLCD4_001	hg38	chr1:95143890-95151419	+	410	NM_152487	TLCD4	ENSG00000152078	1	3: RPF,cORF,MS	circAtlas:hsa-TMEM56-RWDD3_0004,circBank:hsa_circTMEM56-RWDD3_001,circBase:hsa_circ_0000095,CIRCpedia:HSA_CIRCpedia_33267,circRNADb:hsa_circ_03283,CSCD:chr1:95143890-95151419,exoRBase:exo_circ_000936
Condition-independent	Human	hsa_circSASS6_001	hg38	chr1:100123209-100125942	-	141	NM_194292	SASS6	ENSG00000156876	1	2: RPF,cORF	circAtlas:hsa-SASS6_0013,circBank:hsa_circSASS6_001,circBase:hsa_circ_0110153,CIRCpedia:HSA_CIRCpedia_26997,CSCD:chr1:100123209-100125942
Condition-independent	Human	hsa_circSORT1_001	hg38	chr1:109340723-109345878	-	429	NM_001205228	SORT1	ENSG00000134243	1	3: RPF,cORF,m6A	circAtlas:hsa-SORT1_0015,circBank:hsa_circSORT1_026,circBase:hsa_circ_0110387,CIRCpedia:HSA_CIRCpedia_27212,circRNADb:hsa_circ_03665,CSCD:chr1:109340723-109345878,exoRBase:exo_circ_018954
Condition-independent	Human	hsa_circGNAI3_001	hg38	chr1:109573895-109586345	+	559	NM_006496	GNAI3	ENSG00000065135	1	4: RPF,cORF,MS,m6A	CSCD:chr1:109573895-109586345
Condition-independent	Human	hsa_circPTPN22_001	hg38	chr1:113848539-113855049	-	375	NM_015967	PTPN22	ENSG00000134242	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-PTPN22_0008,circBank:hsa_circPTPN22_002,circBase:hsa_circ_0000111,CIRCpedia:HSA_CIRCpedia_27402,circRNADb:hsa_circ_22560,CSCD:chr1:113848539-113855049,exoRBase:exo_circ_001042
Condition-independent	Human	hsa_circATP1A1_001	hg38	chr1:116384782-116396734	+	1850	NM_000701	ATP1A1	ENSG00000163399	1	3: RPF,cORF,m6A	circBank:hsa_circATP1A1_004,circBase:hsa_circ_0013678
Condition-independent	Human	hsa_circMAN1A2_001	hg38	chr1:117402185-117405645	+	353	NM_006699	MAN1A2	ENSG00000198162	1	3: RPF,cORF,m6A	circAtlas:hsa-MAN1A2_0004,circBank:hsa_circMAN1A2_006,circBase:hsa_circ_0000116,CIRCpedia:HSA_CIRCpedia_69178,circRNADb:hsa_circ_11652,CSCD:chr1:117402185-117405645,exoRBase:exo_circ_000018
Condition-independent	Human	hsa_circMAN1A2_002	hg38	chr1:117402185-117414831	+	472	NM_006699	MAN1A2	ENSG00000198162	8	3: RPF,cORF,m6A	circAtlas:hsa-MAN1A2_0002,circBank:hsa_circMAN1A2_007,circBase:hsa_circ_0000117,CIRCpedia:HSA_CIRCpedia_27485,circRNADb:hsa_circ_02600,CSCD:chr1:117402185-117414831,exoRBase:exo_circ_000001
Condition-independent	Human	hsa_circMAN1A2_003	hg38	chr1:117402185-117420649	+	553	NM_006699	MAN1A2	ENSG00000198162	38	4: RPF,cORF,MS,m6A	circAtlas:hsa-MAN1A2_0003,circBank:hsa_circMAN1A2_008,circBase:hsa_circ_0000118,CIRCpedia:HSA_CIRCpedia_27486,circRNADb:hsa_circ_02643,CSCD:chr1:117402185-117420649,exoRBase:exo_circ_000019
Condition-independent	Human	hsa_circMAN1A2_004	hg38	chr1:117402185-117442325	+	648	NM_006699	MAN1A2	ENSG00000198162	7	3: RPF,cORF,m6A	circAtlas:hsa-MAN1A2_0008,circBank:hsa_circMAN1A2_009,circBase:hsa_circ_0000119,CIRCpedia:HSA_CIRCpedia_27487,circRNADb:hsa_circ_29618,CSCD:chr1:117402185-117442325,exoRBase:exo_circ_000037
Condition-independent	Human	hsa_circNBPF8_001	hg38	chr1:120455408-120461426	+	441	NR_102404	NBPF8	ENSG00000270231	2	2: RPF,cORF	circAtlas:hsa-NBPF8_0003
Condition-independent	Human	hsa_circNBPF10_001	hg38	chr1:146136352-146141818	+	813	NM_001039703	NBPF10	ENSG00000271425	32	4: RPF,cORF,MS,m6A	CSCD:chr1:146136352-146141818
Condition-independent	Human	hsa_circPI4KB_001	hg38	chr1:151315572-151316509	-	937	NM_001198773	PI4KB	ENSG00000143393	2	3: RPF,cORF,m6A	circAtlas:hsa-PI4KB_0002,circBank:hsa_circPI4KB_002,circBase:hsa_circ_0006892,CIRCpedia:HSA_CIRCpedia_27959,circRNADb:hsa_circ_25288,CSCD:chr1:151315572-151316509,exoRBase:exo_circ_017985
Condition-independent	Human	hsa_circILF2_001	hg38	chr1:153665219-153668557	-	469	NM_004515	ILF2	ENSG00000143621	1	3: RPF,cORF,m6A	circAtlas:hsa-ILF2_0001,circBank:hsa_circILF2_011,circBase:hsa_circ_0000133,CIRCpedia:HSA_CIRCpedia_28017,circRNADb:hsa_circ_01195,CSCD:chr1:153665219-153668557
Condition-independent	Human	hsa_circINTS3_001	hg38	chr1:153751094-153757763	+	565	NM_001324475	INTS3	ENSG00000143624	1	3: RPF,cORF,m6A	circAtlas:hsa-INTS3_0005,circBank:hsa_circINTS3_010,circBase:hsa_circ_0014292,CIRCpedia:HSA_CIRCpedia_28035,circRNADb:hsa_circ_23521,CSCD:chr1:153751094-153757763
Condition-independent	Human	hsa_circTPM3_001	hg38	chr1:154172907-154173201	-	189	NM_001043351	TPM3	ENSG00000143549	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-TPM3_0002,circBank:hsa_circTPM3_002,circBase:hsa_circ_0008368,CIRCpedia:HSA_CIRCpedia_28070,circRNADb:hsa_circ_00947,CSCD:chr1:154172907-154173201
Condition-independent	Human	hsa_circUBAP2L_001	hg38	chr1:154258976-154260029	+	136	NM_001375614	UBAP2L	ENSG00000143569	1	2: RPF,cORF	circAtlas:hsa-UBAP2L_0024,circBank:hsa_circUBAP2L_045,circBase:hsa_circ_0014405,CIRCpedia:HSA_CIRCpedia_28099,circRNADb:hsa_circ_04722,CSCD:chr1:154258976-154260029
Condition-independent	Human	hsa_circDAP3_001	hg38	chr1:155717005-155726019	+	427	NM_004632	DAP3	ENSG00000132676	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-DAP3_0002,circBank:hsa_circDAP3_006,circBase:hsa_circ_0014611,CIRCpedia:HSA_CIRCpedia_28216,CSCD:chr1:155717005-155726019,exoRBase:exo_circ_007018
Condition-independent	Human	hsa_circDAP3_002	hg38	chr1:155725381-155726019	+	202	NM_001199851	DAP3	ENSG00000132676	2	3: RPF,cORF,MS	circAtlas:hsa-DAP3_0001,circBank:hsa_circDAP3_009,circBase:hsa_circ_0014614,CIRCpedia:HSA_CIRCpedia_28218,circRNADb:hsa_circ_10842,CSCD:chr1:155725381-155726019,exoRBase:exo_circ_000856
Condition-independent	Human	hsa_circGON4L_001	hg38	chr1:155853275-155853806	-	531	NM_001282856	GON4L	ENSG00000116580	5	3: RPF,cORF,m6A	circAtlas:hsa-GON4L_0069,circBank:hsa_circGON4L_002,circBase:hsa_circ_0000139,CIRCpedia:HSA_CIRCpedia_28253,circRNADb:hsa_circ_09305,CSCD:chr1:155853275-155853806,exoRBase:exo_circ_000002
Condition-independent	Human	hsa_circRHBG_001	hg38	chr1:156374606-156378399	+	609	NR_146764	RHBG	ENSG00000132677	6	4: RPF,cORF,MS,IRES	CSCD:chr1:156374606-156378399
